planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
K2-131 b,K2-131,1.69,7.9,0.3693038,2223.0,5120.0,4070.0,0.0,0
K2-136 b,K2-136,1.014,4.3,7.9752,610.0,4500.0,33.5,0.3184032078039234,0
K2-136 c,K2-136,3.0,18.1,17.30713,470.0,4500.0,11.91,0.26379680785758136,0
K2-136 d,K2-136,1.565,3.0,25.575,420.0,4500.0,7.07,0.508359957401491,0
K2-140 b,K2-140,13.56286665,295.58041851,6.569188,962.0,5585.0,204.0,0.0,0
K2-140 b,K2-140,12.273855,323.86877,6.5693,1114.0,5654.0,188.5,0.0,0
K2-141 b,K2-141,1.51,4.97,0.2803244,2103.0,4570.0,3260.0,0.0,0
K2-141 c,K2-141,7.0,8.0,7.7485,695.0,4570.0,39.1,0.0,0
K2-157 b,K2-157,0.935,1.14,0.3652575,2432.0,5334.0,6660.0,0.0,0
K2-167 b,K2-167,2.3,6.5,9.97748,1174.0,6011.0,317.0,0.0,0
K2-18 b,K2-18,2.461,7.2,32.94112,281.0,3449.0,1.48,0.5538461104338795,0
K2-18 b,K2-18,2.61,8.63,32.940045,254.9,3457.0,1.005,0.5037327630603393,0
K2-180 b,K2-180,2.24179614,11.44182265,8.8665,729.0,5110.0,67.0,0.0,0
K2-180 b,K2-180,2.13,9.4,8.8656,672.0,5166.0,48.3,0.03942663070622319,0
K2-182 b,K2-182,2.69,20.0,4.7369683,969.0,5170.0,146.9,0.0,0
K2-19 b,K2-19,7.0,32.4,7.9222,779.0,5322.0,87.0,0.0,0
K2-19 c,K2-19,4.1,10.8,11.8993,679.0,5322.0,51.0,0.0,0
K2-19 d,K2-19,1.11,10.0,2.5081,1142.0,5322.0,404.0,0.0,0
K2-199 b,K2-199,1.73,6.9,3.2253993,913.0,4491.0,116.2,0.0,0
K2-199 b,K2-199,1.74,7.1,3.225286,842.0,4507.0,119.0,0.0,0
K2-199 c,K2-199,2.67,12.6,7.37442,639.0,4507.0,39.6,0.04866907437132156,0
K2-199 c,K2-199,2.85,12.4,7.3744897,694.0,4491.0,38.6,0.0,0
K2-216 b,K2-216,1.66,6.1,2.174789,967.0,4495.0,207.0,0.0,0
K2-216 b,K2-216,1.75,8.0,2.1748,1103.0,4503.0,248.0,0.0,0
K2-222 b,K2-222,2.35,8.0,15.38857,878.0,5942.0,95.0,0.0,0
K2-222 b,K2-222,2.35,8.7,15.38857,871.0,5942.0,96.0,0.0,0
K2-222 b,K2-222,2.41,5.7,15.3863,801.0,5961.0,98.0,0.0,0
K2-229 b,K2-229,1.26,2.55,0.584272,1763.0,5163.0,2290.0,0.0,0
K2-229 c,K2-229,2.04,7.0,8.3262,727.0,5163.0,66.0,0.0,0
K2-233 b,K2-233,1.315,2.4,2.467583,1127.0,4796.0,269.0,0.0,0
K2-233 c,K2-233,1.272,4.6,7.06024,794.0,4796.0,66.2,0.0,0
K2-233 d,K2-233,2.363,10.3,24.3681,525.0,4796.0,12.7,0.22691680464879949,0
K2-237 b,K2-237,16.19697711,433.20011874,2.18053539,1828.0,6360.0,1860.0,0.0,0
K2-24 b,K2-24,5.4,19.0,20.88977,686.0,5625.0,52.0,0.0,0
K2-24 b,K2-24,5.68,21.0,20.8851,767.0,5743.0,60.0,0.0,0
K2-24 c,K2-24,7.82,27.0,42.3633,606.0,5743.0,24.0,0.007807615799943133,0
K2-24 c,K2-24,7.5,15.4,42.3391,542.0,5625.0,20.0,0.1067027417027417,0
K2-25 b,K2-25,3.44,24.5,3.48456408,494.0,3207.0,9.91,0.21334308917365397,0
K2-261 b,K2-261,9.50521563,67.69745069,11.633478,1030.0,5503.0,180.0,0.0,0
K2-261 b,K2-261,9.52763359,59.75174052,11.633478,1046.0,5445.0,180.0,0.0,0
K2-261 b,K2-261,10.32,56.0,11.63395,973.0,5478.0,212.0,0.0,0
K2-263 b,K2-263,2.41,14.9,50.818947,470.0,5368.0,8.17,0.29183777821097157,0
K2-265 b,K2-265,1.676,4.6,2.36906,1257.0,5435.0,592.0,0.0,0
K2-266 b,K2-266,3.3,11.26782377,0.658524,1515.0,4285.0,879.5,0.0,0
K2-266 c,K2-266,0.705,0.29013072,7.814,664.5,4285.0,32.4,0.28419557381613414,0
K2-266 d,K2-266,2.93,8.9,14.697,538.3,4285.0,13.95,0.188458054777944,0
K2-266 e,K2-266,2.73,14.3,19.482,490.1,4285.0,9.581,0.2501746864246864,0
